City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,karratha,-20.7377,116.8463,20.1,53,0,2.45,AU,1691614502
126,rovinj,45.08,13.64,20.27,61,100,1.83,HR,1691614502
127,nova olimpia,-14.7972,-57.2881,36.98,18,4,0.99,BR,1691614502
128,dunedin,-45.8742,170.5036,4.89,68,39,2.68,NZ,1691614492
129,keflavik,64.0049,-22.5624,15.95,62,0,5.66,IS,1691614503
130,dhoro naro,25.5,69.5667,28.07,71,81,8.58,PK,1691614503
131,dudinka,69.4058,86.1778,13.68,70,100,8.86,RU,1691614503
132,touros,-5.1989,-35.4608,25.0,80,41,7.57,BR,1691614397
133,hamilton,39.1834,-84.5333,28.14,79,75,4.63,US,1691614096
134,kuhdasht,33.535,47.6061,30.28,23,88,1.73,IR,1691614503
135,taourirt,34.4073,-2.8973,30.49,43,4,3.07,MA,1691614504
136,lompoc,34.6391,-120.4579,31.12,74,75,3.09,US,1691614504
137,ilulissat,69.2167,-51.1,10.01,50,75,1.03,GL,1691614504
138,port macquarie,-31.4333,152.9167,6.05,79,29,3.2,AU,1691614419
139,kisangani,0.5167,25.2,22.61,93,68,1.02,CD,1691614504
140,uturoa,-16.7333,-151.4333,24.93,70,9,7.92,PF,1691614504
141,yakuplu,40.9889,28.6758,23.64,60,75,8.23,TR,1691614504
142,rafah,31.287,34.2595,26.14,66,0,2.08,PS,1691614505
143,san luis de la loma,17.2706,-100.8939,29.83,77,100,0.75,MX,1691614505
144,duminichi,53.9345,35.1099,13.21,90,3,2.23,RU,1691614505
145,kirkland lake,48.1446,-80.0377,24.16,50,70,3.09,CA,1691614404
146,xanthi,41.1414,24.8836,25.45,46,45,2.19,GR,1691614505
147,ambagarh chauki,20.7833,80.7167,24.58,80,31,2.65,IN,1691614505
148,grytviken,-54.2811,-36.5092,-7.41,73,12,2.52,GS,1691614505
149,amga,60.8953,131.9608,12.49,68,68,1.36,RU,1691614345
150,vieux-habitants,16.0589,-61.7659,25.76,76,19,6.71,GP,1691614505
151,kolonia,50.9333,6.95,17.81,75,0,2.06,DE,1691614456
152,pozanti,37.4278,34.8717,22.39,89,0,1.39,TR,1691614506
153,ballina,-28.8667,153.5667,9.32,85,7,2.56,AU,1691614506
154,egilsstadir,65.2653,-14.3948,8.95,76,75,1.54,IS,1691614314
155,san-pedro,4.7485,-6.6363,24.1,84,86,4.89,CI,1691614507
156,masvingo,-20.0637,30.8277,11.37,66,1,2.3,ZW,1691614439
157,kingston,17.997,-76.7936,32.91,71,20,9.26,JM,1691614247
158,flin flon,54.7682,-101.865,18.91,42,20,3.09,CA,1691614507
159,roanoke,37.271,-79.9414,29.57,59,75,5.14,US,1691614455
160,williams lake,52.1415,-122.1445,23.36,59,75,1.54,CA,1691614507
161,guerrero negro,27.9769,-114.0611,27.82,58,13,7.89,MX,1691614507
162,nizhnesortymskiy,62.4397,71.7603,10.53,67,0,8.04,RU,1691614507
163,st. john's,47.5649,-52.7093,15.38,83,75,6.17,CA,1691614443
